image_name,character
Sample051/img051-00378,o
Sample051/img051-00422,o
Sample051/img051-00344,o
Sample051/img051-00350,o
Sample051/img051-00436,o
Sample051/img051-00387,o
Sample051/img051-00393,o
Sample051/img051-00608,o
Sample051/img051-00146,o
Sample051/img051-00620,o
Sample051/img051-00634,o
Sample051/img051-00152,o
Sample051/img051-00807,o
Sample051/img051-00813,o
Sample051/img051-00185,o
Sample051/img051-00191,o
Sample051/img051-00768,o
Sample051/img051-00032,o
Sample051/img051-00754,o
Sample051/img051-00998,o
Sample051/img051-00740,o
Sample051/img051-00026,o
Sample051/img051-00973,o
Sample051/img051-00967,o
Sample051/img051-00797,o
Sample051/img051-00783,o
Sample051/img051-00218,o
Sample051/img051-00556,o
Sample051/img051-00230,o
Sample051/img051-00224,o
Sample051/img051-00542,o
Sample051/img051-00595,o
Sample051/img051-00581,o
Sample051/img051-00580,o
Sample051/img051-00594,o
Sample051/img051-00225,o
Sample051/img051-00543,o
Sample051/img051-00557,o
Sample051/img051-00231,o
Sample051/img051-00219,o
Sample051/img051-00782,o
Sample051/img051-00796,o
Sample051/img051-00966,o
Sample051/img051-00972,o
Sample051/img051-00741,o
Sample051/img051-00999,o
Sample051/img051-00027,o
Sample051/img051-00033,o
Sample051/img051-00755,o
Sample051/img051-00769,o
Sample051/img051-00190,o
Sample051/img051-00184,o
Sample051/img051-00812,o
Sample051/img051-00806,o
Sample051/img051-00635,o
Sample051/img051-00153,o
Sample051/img051-00147,o
Sample051/img051-00621,o
Sample051/img051-00609,o
Sample051/img051-00392,o
Sample051/img051-00386,o
Sample051/img051-00351,o
Sample051/img051-00437,o
Sample051/img051-00423,o
Sample051/img051-00345,o
Sample051/img051-00379,o
Sample051/img051-00409,o
Sample051/img051-00435,o
Sample051/img051-00353,o
Sample051/img051-00347,o
Sample051/img051-00421,o
Sample051/img051-00390,o
Sample051/img051-00384,o
Sample051/img051-00179,o
Sample051/img051-00151,o
Sample051/img051-00637,o
Sample051/img051-00623,o
Sample051/img051-00145,o
Sample051/img051-00810,o
Sample051/img051-00804,o
Sample051/img051-00192,o
Sample051/img051-00838,o
Sample051/img051-00186,o
Sample051/img051-00019,o
Sample051/img051-00025,o
Sample051/img051-00743,o
Sample051/img051-00757,o
Sample051/img051-00031,o
Sample051/img051-00964,o
Sample051/img051-00970,o
Sample051/img051-00780,o
Sample051/img051-00958,o
Sample051/img051-00794,o
Sample051/img051-00569,o
Sample051/img051-00541,o
Sample051/img051-00227,o
Sample051/img051-00233,o
Sample051/img051-00555,o
Sample051/img051-00582,o
Sample051/img051-00596,o
Sample051/img051-00597,o
Sample051/img051-00583,o
Sample051/img051-00232,o
Sample051/img051-00554,o
Sample051/img051-00540,o
Sample051/img051-00226,o
Sample051/img051-00568,o
Sample051/img051-00795,o
Sample051/img051-00959,o
Sample051/img051-00781,o
Sample051/img051-00971,o
Sample051/img051-00965,o
Sample051/img051-00756,o
Sample051/img051-00030,o
Sample051/img051-00024,o
Sample051/img051-00742,o
Sample051/img051-00018,o
Sample051/img051-00839,o
Sample051/img051-00187,o
Sample051/img051-00193,o
Sample051/img051-00805,o
Sample051/img051-00811,o
Sample051/img051-00622,o
Sample051/img051-00144,o
Sample051/img051-00150,o
Sample051/img051-00636,o
Sample051/img051-00178,o
Sample051/img051-00385,o
Sample051/img051-00391,o
Sample051/img051-00346,o
Sample051/img051-00420,o
Sample051/img051-00434,o
Sample051/img051-00352,o
Sample051/img051-00408,o
Sample051/img051-00356,o
Sample051/img051-00430,o
Sample051/img051-00424,o
Sample051/img051-00342,o
Sample051/img051-00418,o
Sample051/img051-00395,o
Sample051/img051-00381,o
Sample051/img051-00632,o
Sample051/img051-00154,o
Sample051/img051-00140,o
Sample051/img051-00626,o
Sample051/img051-00168,o
Sample051/img051-00829,o
Sample051/img051-00197,o
Sample051/img051-00183,o
Sample051/img051-00815,o
Sample051/img051-00801,o
Sample051/img051-00746,o
Sample051/img051-00020,o
Sample051/img051-00034,o
Sample051/img051-00752,o
Sample051/img051-00008,o
Sample051/img051-00785,o
Sample051/img051-00791,o
Sample051/img051-00949,o
Sample051/img051-00961,o
Sample051/img051-00975,o
Sample051/img051-00222,o
Sample051/img051-00544,o
Sample051/img051-00550,o
Sample051/img051-00236,o
Sample051/img051-00578,o
Sample051/img051-00587,o
Sample051/img051-00593,o
Sample051/img051-00592,o
Sample051/img051-00586,o
Sample051/img051-00579,o
Sample051/img051-00551,o
Sample051/img051-00237,o
Sample051/img051-00223,o
Sample051/img051-00545,o
Sample051/img051-00974,o
Sample051/img051-00960,o
Sample051/img051-00948,o
Sample051/img051-00790,o
Sample051/img051-00784,o
Sample051/img051-00009,o
Sample051/img051-00035,o
Sample051/img051-00753,o
Sample051/img051-00747,o
Sample051/img051-00021,o
Sample051/img051-00800,o
Sample051/img051-00814,o
Sample051/img051-00182,o
Sample051/img051-00828,o
Sample051/img051-00196,o
Sample051/img051-00169,o
Sample051/img051-00141,o
Sample051/img051-00627,o
Sample051/img051-00633,o
Sample051/img051-00155,o
Sample051/img051-00380,o
Sample051/img051-00394,o
Sample051/img051-00419,o
Sample051/img051-00425,o
Sample051/img051-00343,o
Sample051/img051-00357,o
Sample051/img051-00431,o
Sample051/img051-00341,o
Sample051/img051-00427,o
Sample051/img051-00433,o
Sample051/img051-00355,o
Sample051/img051-00369,o
Sample051/img051-00382,o
